Classification,Avg PnL,Total PnL,Trade Count,Std PnL,Avg Sense Value,Win Rate
Extreme Fear,71.02731582644628,739110.24849,10406,1628.4083414690217,19.701614453200076,0.7621564482029598
Extreme Greed,130.20530910051312,2715171.310673,20853,1058.1261390742786,79.46861362873447,0.8916702632714717
Fear,112.62598770940687,3357155.441642,29808,1344.7784270101772,33.37664385399893,0.8728864734299517
Greed,85.40392727005879,2150129.272951,25176,1576.394764027536,68.31756434699714,0.7689068954559898
Neutral,71.19999314664905,1292920.67555,18159,743.2128626515155,48.58020816124236,0.8238889806707418
